Protein1,Protein2
P69820,P69824
P69820,P39363
P39304,P37678
P39305,P37679
P39306,P08203
P39306,Q46890
P39306,P37680
P0A9L3,P45523
P0AAE0,P15993
P0AAE0,Q47689
P0AAE0,P0AAE2
P0AAE0,P77400
P0AAE0,P24207
P0AAE0,P0AAF1
P0AAE0,P76037
P0AAE0,P77610
P0AAE0,P63235
P0AAE0,P0AAE5
P0AAE0,P0AA47
P0AAE0,P25737
P0AAE0,P25527
P0AAE0,P45539
P0AAE0,P27837
P0AAE0,P60061
P0AAE0,P0AAE8
P0AAE0,P39277
P39314,P0ABT8
P08331,P07024
P22255,P0ADG4
P0AE45,P37908
P08365,P0AE72
P39325,P02925
P39325,P39265
Q6BEX0,P31060
Q6BEX0,P0A9U1
Q6BEX0,P0A9U3
Q6BEX0,P75796
Q6BEX0,P43672
Q6BEX0,P77257
Q6BEX0,P0AAF3
Q6BEX0,P0AAG8
Q6BEX0,P33916
Q6BEX0,P77509
Q6BEX0,P63389
Q6BEX0,P37388
Q6BEX0,P04983
Q6BEX0,P32721
Q6BEX0,P0A9W3
P39328,P77672
P39328,P0AFS1
P39328,P0AE26
P39328,P23200
P39328,P77315
P39328,P0AGI4
P39328,P0AGI1
P39328,P32720
P39328,P37772
P37772,P77672
P37772,P0AFS1
P37772,P0AE26
P37772,P23200
P37772,P77315
P37772,P0AGI4
P37772,P0AGI1
P37772,P32720
P37772,P39328
P37773,P17952
P0AFK0,P0AGG8
P36672,P77272
P36672,P24241
P36672,P08722
P36673,P0ACP1
P36673,P03023
P36673,P77615
P36673,P18811
P36673,P0ACP7
P36673,P25748
P36673,P24242
P36673,P03024
P36673,P0ACP5
P36673,P0ACQ0
P36673,P0ACN7
P36673,P39343
P0ABB8,P03960
P0ABB8,P37617
P0AF93,P0AFQ5
P0AF93,P0AGL2
P39333,P0AFP4
P39333,P15047
P39333,P0AEK2
P39333,P31808
P39333,P0AEK4
P39333,P39831
P39333,P0AET8
P39333,P33368
P39333,P37440
P39333,P05707
P39333,P76633
P39333,P37769
P39333,P52037
P39333,P0AG84
P39333,P0A9P9
P39334,P75952
P0AF96,P45424
P0AF96,P37673
P04391,P06960
P04391,Q46803
P07118,P00956
P07118,P07813
P68767,P37095
P0AF98,P0ADC6
P0ADC6,P0AF98
P39343,P0ACP1
P39343,P03023
P39343,P77615
P39343,P18811
P39343,P0ACP7
P39343,P25748
P39343,P24242
P39343,P03024
P39343,P06846
P39343,P0ACP5
P39343,P0ACQ0
P39343,P0ACN7
P39343,P36673
P39344,P08555
P39344,Q46892
P39344,P39835
P39344,P0AC96
P39344,P39357
P39344,P0AC94
P0A9P9,P15047
P0A9P9,P0AEK2
P0A9P9,P31808
P0A9P9,P39831
P0A9P9,P0AET8
P0A9P9,P33368
P0A9P9,P37440
P0A9P9,P0CI31
P0A9P9,P05707
P0A9P9,P76633
P0A9P9,P37769
P0A9P9,P52037
P0A9P9,P0AG84
P0A9P9,P39333
P39346,P75691
P39346,P25437
P39346,P77316
P39346,P39451
P39346,P38105
P39346,P77280
P39346,P77539
P39346,P0A9S3
P39346,P77360
P39346,P07913
P39346,P27250
P39346,P39400
P39208,P46859
P27250,P75691
P27250,P39451
P27250,P77539
P27250,P07913
P27250,P39346
P27250,P39400
P0CF45,P0CF40
P0CF45,P0CF41
P0CF45,P0CF42
P0CF45,P0CF43
P0CF45,P0CF44
P0CF58,P37007
P0CF58,P0CF53
P0CF58,P0CF54
P0CF58,P0CF55
P0CF58,P0CF56
P0CF58,P0CF57
P0CF58,P19769
P39352,P31679
P39352,P77589
P39352,P25744
P39352,P31122
P39352,P38055
P39352,P76230
P39352,P76350
P39352,P28246
P39352,P0AEX3
P39352,Q46909
P39352,Q46916
P39352,P0AE24
P39352,P0AA78
P39352,P0AA80
P39352,P41036
P39352,P37643
P39352,P37662
P39352,P0ADL1
P39352,P09836
P39352,P0AA76
P39352,P0C0L7
P39352,P39398
P0CF90,P0CF88
P0CF90,P0CF89
P15031,P31548
P15031,P36879
P15031,P07821
P15031,P30750
P15031,P37009
P15031,Q47538
P15031,P77279
P15031,P0A9T8
P15031,P23878
P15031,P0AAG3
P15031,P10346
P15031,P0AAF6
P15031,P0AAI1
P15031,P75957
P15031,P77737
P15031,P0AAH8
P15031,P77795
P15031,P77622
P15031,P77268
P15031,P06611
P15031,P76909
P15031,P0A9X1
P15031,P37774
P15031,P33360
P15031,P33931
P15031,P07109
P15031,P16676
P15031,P63386
P15031,P0A9V1
P15031,P45769
P15031,P22731
P15031,P0A9S7
P15031,P0A9R7
P15031,P33593
P15031,P33594
P15031,P37313
P15031,P0AAH0
P15031,P16679
P15031,P16678
P15031,P16677
P15029,P23877
P15029,P23876
P15029,P06609
P15029,P15030
P15030,P23877
P15030,P23876
P15030,P06609
P15030,P15029
P15028,P0AEL6
P13036,P06971
P13036,P75780
P13036,P76115
P13036,P17315
P13036,P06129
P23484,P0AGB6
P19767,P0CF07
P19767,P0CF08
P19767,P0CF09
P19767,P0CF10
P19767,P0CF11
P19767,P0CF12
P39356,P76141
P39357,P08555
P39357,Q46892
P39357,P39835
P39357,P0AC96
P39357,P39344
P39357,P0AC94
P39358,P77596
P39358,P0ADF6
P39358,P05791
P39359,P75682
P39359,P0A6L2
P39359,P0A6L4
P39360,P77300
P39360,P0ACN4
P39360,P76268
P39360,P77732
P39360,P37671
P39360,P16528
P39361,P0ACK5
P39361,P76034
P39361,P77721
P39361,P15082
P39361,P52598
P39361,P0ACK8
P39361,P0ACK2
P39361,P32144
P39361,P0A9W0
P39362,P0AG07
P39362,P32719
P39363,P69824
P39363,P69820
P58035,P37188
P39366,P77585
P39366,P32153
P39368,P63417
P0ADH5,P0A8P8
P0ADH5,P0A8P6
P0ADH5,P0ADH7
P0ADH7,P0ADH5
P04128,P0ABW5
P04128,P38052
P04128,P77789
P04128,P39264
P04128,P08189
P39264,P77789
P39264,P04128
P39264,P08189
P31697,P33128
P31697,P77249
P31697,P75749
P31697,P75856
P31697,P40876
P31697,P77599
P31697,P42914
P30130,P33129
P30130,P77468
P30130,P75750
P30130,P75857
P30130,P33341
P30130,P42915
P30130,P45420
P08189,P75860
P08189,P77789
P08189,P76499
P08189,P04128
P08189,P39264
P08190,P77294
P08191,P77588
P0AC94,P08555
P0AC94,Q46892
P0AC94,P39835
P0AC94,P0AC96
P0AC94,P39344
P0AC94,P39357
P39160,P0A6L7
P39160,P77260
P39160,P33029
P39161,P0ACL9
P39161,P0ACL5
P39161,P0ACL2
P39161,P0A8W0
P39161,P0ACL7
P39161,P31460
P39376,P05827
P39381,P09836
P39386,P0AEY8
P39386,P43531
P39386,P37597
P39386,P28246
P39386,P37621
P39386,P31442
P39386,P31462
P39389,P77730
P39389,P77434
P0ADC8,P0AAS9
P39396,P15078
P02942,P05704
P02942,P07018
P02942,P07017
P39398,P31122
P39398,P43531
P39398,P08194
P39398,P76470
P39398,Q46916
P39398,P0AA78
P39398,P0AA80
P39398,P37643
P39398,P0AGC0
P39398,P09836
P39398,P0AA76
P39398,P39352
P39400,P75691
P39400,P25437
P39400,P77316
P39400,P39451
P39400,P38105
P39400,P77280
P39400,P77539
P39400,P0A9S3
P39400,P77360
P39400,P07913
P39400,P39346
P39400,P27250
P0AEF0,P77546
P0AFH8,P64596
P39408,P0AFQ7
P39408,P27859
P39409,P75794
P39409,P0A9N4
P39409,P32675
P0A6K6,P45549
P0ABP8,P12758
P0A9W3,P0A9U1
P0A9W3,P0A9U3
P0A9W3,P75796
P0A9W3,P43672
P0A9W3,P77257
P0A9W3,P0AAF3
P0A9W3,P0AAG8
P0A9W3,P33916
P0A9W3,P77509
P0A9W3,P63389
P0A9W3,P37388
P0A9W3,P04983
P0A9W3,P32721
P0A9W3,Q6BEX0
P0A7A2,P52086
P08368,P0AFJ5
P08368,P0ACZ8
P08368,P21866
P08368,P38684
P08368,P23836
P08368,P52108
P08368,P76340
P08368,P69228
P08368,P52076
P08368,P0AA16
P08368,P0AE88
P08368,P30843
P08368,P0A9Q1
P08401,P77485
P08401,P30847
P08401,P0AE82
P08401,P30844
P0A9Q1,P0AFJ5
P0A9Q1,P0ACZ8
P0A9Q1,P21866
P0A9Q1,P38684
P0A9Q1,P23836
P0A9Q1,P52108
P0A9Q1,P76340
P0A9Q1,P69228
P0A9Q1,P52076
P0A9Q1,P0AA16
P0A9Q1,P0AE88
P0A9Q1,P30843
P0A9Q1,P08368
P37005,P0AE01
